City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,karkira,36.9292,6.5856,15.54,78,97,1.52,DZ,1708164927
146,pamukkale,37.9164,29.1173,12.74,60,27,1.37,TR,1708164927
147,kruisfontein,-34.0033,24.7314,24.94,32,3,9.29,ZA,1708164928
148,sona,45.4388,10.8255,17.36,100,100,0.51,IT,1708164929
149,yellowknife,62.456,-114.3525,-15.11,90,21,4.01,CA,1708164853
150,saurimo,-9.6608,20.3916,28.39,56,37,2.0,AO,1708164930
151,skeldon,5.8833,-57.1333,23.7,89,34,2.44,GY,1708164931
152,remire-montjoly,4.9167,-52.2667,26.02,89,75,2.57,GF,1708164932
153,ambalangoda,6.2355,80.0538,28.62,74,88,4.63,LK,1708164932
154,banswada,18.3833,77.8833,34.49,12,2,1.35,IN,1708164933
155,barrington,41.7407,-71.3087,-0.86,79,100,2.06,US,1708164933
156,kayangel,8.0823,134.7173,27.24,83,8,8.14,PW,1708164934
157,papatowai,-46.5619,169.4708,12.77,88,74,2.22,NZ,1708164935
158,kiunga,-6.1219,141.2906,26.45,82,88,0.16,PG,1708164935
159,bangor trident base,47.7227,-122.7145,6.38,80,100,0.89,US,1708164936
160,faya-largeau,17.9257,19.1043,24.94,14,0,8.75,TD,1708164937
161,sitka,57.0531,-135.33,10.94,37,100,5.66,US,1708164937
162,la passe,45.5549,-0.8967,12.13,70,4,1.63,FR,1708164938
163,utrik,11.2278,169.8474,26.14,82,82,10.49,MH,1708164939
164,prince george,53.9166,-122.753,-8.54,85,20,0.45,CA,1708164918
165,east london,-33.0153,27.9116,24.52,53,0,7.2,ZA,1708164940
166,ibipeba,-11.6408,-42.0111,21.07,91,96,0.86,BR,1708164940
167,bodaybo,57.8506,114.1933,-25.36,92,100,1.76,RU,1708164941
168,mount isa,-20.7333,139.5,25.87,89,40,4.12,AU,1708164941
169,zhanibek,49.4167,46.85,-5.04,64,100,5.71,KZ,1708164942
170,geraldton,-28.7667,114.6,30.23,37,10,9.77,AU,1708164943
171,wattegama,6.7989,81.4808,30.21,58,78,5.48,LK,1708164944
172,freetown,8.484,-13.2299,28.66,69,71,2.23,SL,1708164812
173,bredasdorp,-34.5322,20.0403,22.08,40,59,3.79,ZA,1708164945
174,port isabel,26.0734,-97.2086,19.02,96,100,4.47,US,1708164946
175,tuy hoa,13.0833,109.3,24.5,81,36,2.64,VN,1708164946
176,borkum,53.5809,6.6915,9.4,85,0,3.91,DE,1708164947
177,uliastay,47.7417,96.8444,-23.13,95,96,0.99,MN,1708164948
178,dahanu,19.9667,72.7333,28.63,47,0,4.59,IN,1708164941
179,at taj,24.2049,23.2857,17.48,30,0,2.67,LY,1708164949
180,pacaembu,-21.5622,-51.2606,21.37,94,2,1.65,BR,1708164949
181,tazovsky,67.4667,78.7,-28.97,98,81,2.35,RU,1708164950
182,isola di capo rizzuto,38.96,17.0933,15.66,72,40,1.54,IT,1708164951
183,lompoc,34.6391,-120.4579,12.1,96,100,2.57,US,1708164951
184,syracuse,37.0881,15.2792,16.77,61,92,1.83,IT,1708164952
185,khilok,51.3674,110.4676,-22.55,90,100,4.45,RU,1708164952
186,broken hill,-31.95,141.4333,32.77,22,47,5.44,AU,1708164953
187,luderitz,-26.6481,15.1594,23.94,49,0,7.06,NA,1708164954
188,anadyr,64.75,177.4833,-21.72,84,20,2.0,RU,1708164955
189,puerto san jose,13.9256,-90.8244,23.43,78,74,2.96,GT,1708164956
190,thinadhoo,0.5333,72.9333,27.02,84,100,7.14,MV,1708164956
191,hithadhoo,-0.6,73.0833,27.86,79,100,5.26,MV,1708164957
192,tofol,5.3248,163.0078,28.13,76,7,7.44,FM,1708164958
193,urangan,-25.3,152.9,25.67,82,4,2.68,AU,1708164958
194,westport,41.1415,-73.3579,-0.86,84,100,2.57,US,1708164959
195,khandyga,62.6667,135.6,-33.52,87,58,2.21,RU,1708164749
196,happy valley-goose bay,53.3168,-60.3315,-11.83,85,100,3.6,CA,1708164960
197,vilyuchinsk,52.9306,158.4028,-8.85,81,14,6.4,RU,1708164961
198,gulf shores,30.246,-87.7008,17.25,78,75,0.45,US,1708164890
199,fort bragg,35.139,-79.006,13.79,68,0,4.63,US,1708164962
200,bulalacao,12.3254,121.3435,26.16,74,12,6.91,PH,1708164963
201,black point,-34.6187,137.8972,22.23,63,76,7.08,AU,1708164963
202,holualoa,19.6228,-155.9522,20.91,85,75,2.57,US,1708164964
203,qamdo,31.1667,97.2333,1.18,17,97,8.81,CN,1708164964
204,oroqen zizhiqi,50.5667,123.7167,-8.0,95,100,1.09,CN,1708164965
205,saint-affrique,43.9558,2.8892,11.55,85,97,3.07,FR,1708164966
206,puerto ayacucho,5.6639,-67.6236,24.33,91,99,1.28,VE,1708164966
207,cocachacra,-17.0883,-71.7575,22.48,88,100,2.03,PE,1708164967
208,port blair,11.6667,92.75,30.02,70,40,4.12,IN,1708164968
209,tateyama,34.9833,139.8667,11.72,73,98,5.02,JP,1708164968
210,gadzhiyevo,69.2551,33.3362,-4.48,90,100,2.12,RU,1708164970
211,mugia,43.1041,-9.2179,13.97,81,81,4.1,ES,1708164971
212,isangel,-19.55,169.2667,26.16,84,82,7.57,VU,1708164971
213,ta`u,-14.2336,-169.5144,27.9,83,89,5.6,AS,1708164972
214,cerveny kostelec,50.4763,16.0929,10.87,97,100,1.15,CZ,1708164973
215,passau,48.5712,13.449,13.2,96,100,4.92,DE,1708164974
216,nantucket,41.2835,-70.0995,0.06,59,100,0.0,US,1708164965
217,conceicao do araguaia,-8.2578,-49.2647,23.69,96,100,1.53,BR,1708164975
218,fale old settlement,-9.3852,-171.2468,29.03,77,100,7.67,TK,1708164975
219,kingston,17.997,-76.7936,22.31,92,5,1.26,JM,1708164893
220,gounou gaya,9.6294,15.5132,32.29,9,84,2.6,TD,1708164977
221,palikir - national government center,6.9248,158.1611,27.47,78,100,5.14,FM,1708164977
222,yuzhno-kurilsk,44.0306,145.8556,-3.68,67,100,2.64,RU,1708164978
223,uturoa,-16.7333,-151.4333,28.06,82,80,7.82,PF,1708164978
224,salekhard,66.53,66.6019,-22.97,89,20,2.93,RU,1708164979
225,constitucion,-35.3333,-72.4167,14.4,93,25,3.0,CL,1708164958
226,fomboni,-12.28,43.7425,29.34,74,95,5.67,KM,1708164981
227,cassino,41.4876,13.8315,19.13,62,20,0.89,IT,1708164981
228,mhamid,29.82,-5.72,19.33,26,2,9.93,MA,1708164968
229,las vegas,36.175,-115.1372,13.16,53,0,3.58,US,1708164975
230,auki,-8.7676,160.7034,27.19,91,38,3.04,SB,1708164923
231,palmer,42.1584,-72.3287,-1.96,80,100,2.06,US,1708164985
232,dudinka,69.4058,86.1778,-29.66,98,79,1.79,RU,1708164966
233,maymana,35.9214,64.7836,13.12,52,100,2.25,AF,1708164986
234,mananjary,-21.2167,48.3333,27.61,78,99,2.01,MG,1708164987
235,mount pearl,47.5166,-52.7813,-4.47,93,100,9.26,CA,1708164940
236,quellon,-43.1167,-73.6167,10.4,89,59,1.92,CL,1708164988
237,dhromolaxia,34.8755,33.5868,19.81,56,20,5.81,CY,1708164989
238,lebu,-37.6167,-73.65,13.4,88,0,9.74,CL,1708164989
239,harnosand,62.6323,17.9379,0.01,70,28,9.83,SE,1708164990
240,kavaratti,10.5669,72.642,28.24,69,100,2.27,IN,1708164991
241,manakara,-22.1333,48.0167,28.48,75,78,2.79,MG,1708164991
242,padang,-0.9492,100.3543,31.03,83,98,1.54,ID,1708164992
243,fortuna,40.5982,-124.1573,13.53,70,100,8.23,US,1708164892
244,lodwar,3.1191,35.5973,37.18,23,85,9.1,KE,1708164923
245,siwa oasis,29.2041,25.5195,17.84,43,4,2.27,EG,1708164994
246,vikulovo,56.8167,70.6107,-15.53,86,73,3.71,RU,1708164994
247,liepaja,56.5419,21.0367,3.99,100,100,7.2,LV,1708164996
248,aitape,-3.1374,142.3475,27.34,86,85,1.66,PG,1708164996
249,vilyuysk,63.7553,121.6247,-36.11,98,96,1.79,RU,1708164997
250,rio preto da eva,-2.6994,-59.6997,24.86,86,99,1.12,BR,1708164998
251,magong,23.5654,119.5863,17.28,94,14,3.61,TW,1708164998
252,bazarnyy syzgan,53.7512,46.7535,-9.49,79,100,3.98,RU,1708164999
253,san ignacio,17.1561,-89.0714,18.08,100,0,0.0,BZ,1708165000
254,kourou,5.1552,-52.6478,26.03,86,63,4.76,GF,1708165000
255,deqen,29.9618,90.7188,4.61,7,100,3.75,CN,1708165001
256,kiruna,67.8557,20.2251,-7.49,73,0,7.2,SE,1708165001
257,ulanhot,46.0833,122.0833,3.45,57,90,4.51,CN,1708165002
258,okha,53.5739,142.9478,-20.26,98,97,5.67,RU,1708164756
259,pueblo nuevo,23.3833,-105.3833,4.18,92,10,2.41,MX,1708165003
260,viedma,-40.8135,-62.9967,23.04,48,0,7.72,AR,1708165004
261,raja,8.4596,25.678,27.97,16,100,3.15,SS,1708165004
262,tan-tan,28.438,-11.1032,19.97,72,75,6.69,MA,1708165005
263,wotje,9.4543,170.2367,26.56,82,39,10.43,MH,1708165006
